source,members,n_members,train_n,train_mae,train_rmse,train_r2,train_accuracy_at_thresh,test_n,test_mae,test_rmse,test_r2,test_accuracy_at_thresh
ensemble,Chemberta Embeddings__RandomForest + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest + Molformer Embeddings__SVR_RBF,8,163,0.15496678211807074,0.19143809347605778,0.9764929702810515,1.0,41,0.4009537847792819,0.5517960539364153,0.7799511457488307,0.7073170731707317
ensemble,Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest + Molformer Embeddings__SVR_RBF,8,163,0.11905547334924682,0.14296145680783406,0.9868907161998037,1.0,41,0.3967066177200547,0.5518092434207497,0.7799406260447401,0.7073170731707317
ensemble,Chemberta Embeddings__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__RandomForest + Molformer Embeddings__Lasso,5,163,0.14583440156915403,0.18333520794093652,0.9784407928059775,1.0,41,0.4033439514636094,0.5523610608001748,0.7795002807417527,0.7317073170731707
ensemble,Chemberta Embeddings__RandomForest + Descriptors__RandomForest + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,7,163,0.15155337973135175,0.19166397516509354,0.9764374647120659,0.9754601226993865,41,0.3973812234009134,0.5525420898559807,0.7793557253053626,0.7073170731707317
ensemble,Chemberta Embeddings__RandomForest + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,6,163,0.163343190580333,0.2025216562169575,0.9736922336458049,1.0,41,0.40471201861007433,0.5526059970927999,0.7793046827454394,0.7073170731707317
ensemble,Chemberta Embeddings__RandomForest + Descriptors__RandomForest + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest + Molformer Embeddings__SVR_RBF,8,163,0.14364670215780784,0.1774347284421527,0.9798061889779947,1.0,41,0.3985463614748277,0.5529859885721355,0.7790010625390471,0.6829268292682927
ensemble,Chemberta Embeddings__RandomForest + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest + Molformer Embeddings__SVR_RBF,9,163,0.14011176879683065,0.17256158747035846,0.9809001793082559,1.0,41,0.40213558907474056,0.5530604665924523,0.778941528763837,0.7073170731707317
ensemble,Chemberta Embeddings__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,6,163,0.1231371220692666,0.15154563357981848,0.9852691471639806,1.0,41,0.39227136959996056,0.5534336595518129,0.7786430973850319,0.7317073170731707
ensemble,Chemberta Embeddings__RandomForest + Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Fingerprints__GradientBoosting + Molformer Embeddings__Lasso,5,163,0.14427841702565483,0.17819956238296772,0.9796317225709519,1.0,41,0.39884239291111434,0.5534734783770577,0.7786112435620709,0.7317073170731707
ensemble,Chemberta Embeddings__RandomForest + Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso,7,163,0.13185278155287974,0.16493971002319854,0.9825501584100188,1.0,41,0.392883604488038,0.553605543663509,0.7785055790310087,0.7073170731707317
